Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
31	U00000497	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	0.99	0.49	0.00	0.00	0.01	down	down	down	1.53E-06	0.2116	0.0008	0.0014	0.0025
32	U00000154	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.29	0.15	0.00	0.00	0.76	down	down	up	1.45E-06	0.2550	0.0063	0.0082	0.0072
33	U00005346	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.59	0.45	0.01	0.94	0.07	down	up	down	1.09E-05	0.1211	0.0019	0.0448	0.0746
34	U00001406	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.78	0.16	0.00	0.00	0.02	down	down	down	2.07E-07	0.0172	0.0008	0.0008	0.0385
35	U00812452	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	0.00	0.54	0.00	0.00	1.19	down	down	up	1.69E-08	0.0001	0.0001	0.0001	0.1620
36	U00000837	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.00	0.54	0.00	0.00	0.41	down	down	down	6.50E-07	0.0001	0.0001	0.0001	0.3440
37	U00009763	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella	1.14	1.77	0.00	0.00	2.44	down	down	up	3.15E-07	0.8501	0.0001	0.0001	0.4274
38	U00462521	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	0.63	1.17	0.00	0.00	1.51	down	down	up	8.33E-08	0.4274	0.0001	0.0001	0.5708
39	U00002709	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; 	1.38	1.79	0.01	0.01	0.01	down	down	down	1.53E-07	0.3847	0.0006	0.0004	0.0004
40	U00006821	Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas	0.90	0.38	0.00	0.00	0.19	down	down	down	5.46E-07	0.0211	0.0008	0.0014	0.3057
